centre;composante;iae_etape_code;iae_version_code;iae_etape_lib;id_polytech;redoublant;sexe;age;nationalite;bac;bac_annee;bac_mention;bac_lieu;titre_access;titre_acces_iea;titre_acces_pays;Boursier ;dernier_etablissement_code;dernier_etablissement_lib;premier_etablissement_code;premier_etablissement_lib;type_dernier_diplome_code;type_dernier_diplome_lib;regime_inscription
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF001;N;M;21;FRANCAIS(E);S-STI;2018;Sans mention;Rhône;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03MA;114;Ingénieur Polytech 3A MAT;2122INGMAT001;N;F;20;FRANCAIS(E);SVT-SV;2019;Très bien;Rhône;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL04IF;114;Ingénieur Polytech 4A IF;2122INGIF002;N;M;21;FRANCAIS(E);SVT-MA;2018;Très bien;Etranger;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;900;Aucun diplôme supérieur;initiale
POLYTECH;POLYTECH;PL03ME;114;Ingénieur Polytech 3A ME;2122INGMECA001;N;M;20;ETHIOPIEN(NE);SVT-MA;2019;Bien;Etranger;; ;;Oui;0380027Y;LYCEE CLAS;0691774D;Université Lyon 1;012;Attestation délivrée à la suite d'un cursus en CPGE;initiale
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF003;N;M;20;FRANCAIS(E);SVT-MA;2019;Bien;Ain;; ;; ;0740003B;LYCEE POLY;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03GI;118;Ingénieur Polytech 3A GI;2122INGSIR001;N;M;25;FRANCAIS(E);SVT-SV;2014;Passable;Eure;DUT;Externe;NORD; ;0595964M;U_LITTORAL;0595964M;Université du Littoral Côte d'Opale;011;DUT;initiale
POLYTECH;POLYTECH;PL05MM;114;Ingénieur Polytech 5A MAP;2122INGMAM001;N;M;21;FRANCAIS(E);SVT-MA;2017;Très bien;Var;; ;; ;0691774D;U_LYON 1;0134009M;Aix-Marseille Université;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;MPL021;116;M2 Medical imaging, S&S;2122M2MISSS001;O;F;24;MAROCAIN(E);0031-étran;2015;;Etranger;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;073;Diplôme d'ingénieur (universitaire ou non);initiale
POLYTECH;POLYTECH;MPL021;116;M2 Medical imaging, S&S;2122M2MISSS002;O;F;24;MAROCAIN(E);0031-étran;2015;;Etranger;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;503;Diplôme d'établissement étranger supérieur;initiale
POLYTECH;POLYTECH;PL04ME;114;Ingénieur Polytech 4A MEC;2122INGMECA002;N;M;21;FRANCAIS(E);SVT-PC;2018;Bien;Lozère;Ingénieur;Externe;;Oui;0691774D;U_LYON 1;0632035V;Université Clermont Auvergne;040;Licence;initiale
