code;date;promotion;formation;specialite;genre;age  ;nationalite;bac;csp;reponse;situation_mars;recherche_emploi_depuis;refus_plusieurs_emplois;type_etude;type_etude_autre;secteur_cifre;secteur_cifre_autre;intitule_formation;etablissement_formation;situation_represente;situation_represente_autre;egalement_recherche_emploi;premier_emploi_depuis_diplome;situation;situation_inactive_depuis;num_emploi;temps_pour_premier_emploi;moyen_trouver_emploi;moyen_trouver_emploi_autre;employeur;employeur_autre;secteur_activite_organisme;type_emploi;type_emploi_autre;type_volontariat;type_volontariat_autre;statut_emploi;condition_depart_entrprise;condition_depart_entreprise_autre;objectif_premier_emploi;objectif_premier_emploi_autre;intitule_emploi;responsabilite_hierarchique;responsabilite_projet;responsabilite_equipe;responsabilite_budget;mission_rse;mission_rse_environnement;mission_rse_egalite;mission_rse_handicap;mission_rse_ouverture;mission_rse_ethique;mission_rse_autre;moyen_trouver_emploi_2;moyen_trouver_emploi_autre_2;critere_principal;critere_principal_autre;duree_trouver_emploi;employeur_2;employeur_2_autre;employeur_2_type;taille_organisme_2;secteur_activite_organisme_2;type_emploi_2;statut_emploi_autre_2;createur_entreprise;activite_principale;type_volontariat_2;type_volontariat_autre_2;statut_emploi_2;fonction_emploi_2;fonction_emploi_autre_2;temps_travail;heure_par_semaine;teletravail;moyenne_jours_teletravail;departement;pays;ville;emploi_represente_2;emploi_represente_autre_2;recherche_emploi;raison_recherche_emploi
22BDI256AN;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Industiel);Génie industriel;F;22;FRANCAIS(E);Bac S;21;Oui;En activité professionnelle;;;;;;;;;;;;;;;2ème emploi ou plus depuis votre sortie de l'école*;1;Démarché par un chasseur de têtes;;Une entreprise privée;;Industrie automobile, aéronautique, navale, ferroviaire;CDD;;;;Cadre;Fin de contrat ou fin de mission;;Elargir vos compétences et progresser professionnellement;;Ingénieur qualité industrielle;Oui;Non;Non;Non;Non;;;;;;;Démarché par un chasseur de têtes;;Le montant du salaire proposé;;;Une entreprise privée;;Société de conseil / d'ingénierie ou Bureau d'études indépendant;De 50 à 99 salariés;Industrie automobile, aéronautique, navale, ferroviaire;CDI;;;;;;Cadre;Qualité, sécurité, sûreté de fonctionnement;;Temps plein;;Oui;1;13;;Vitrolles;Un emploi précaire en attendant mieux;;Non;
22MDI205AM;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Biomédical);Génie Biomédical;M;22;FRANCAIS(E);Bac S;61;Oui;En poursuite d'études;;;Master of Business Administration;;;;Master Management et Administration des Entreprises;iaelyon School of Management;L'acquisition d'une double compétence;;Non;Oui;;;;1;Site Internet spécialisé dans l'emploi (Apec...);;La fonction publique d'Etat;;Enseignement;CDD;;;;Non cadre;Autre;Je suis encore étudiant en double diplôme à l'IAE Lyon, j'ai décidé de faire le métier d'enseignant pour le semestre 22;Autre;Travailler en tant qu'enseignant afin de découvrir le métier et mener à bien mes autres projets professionnels (je ne peux pas m'engager sur un CDI au vu de mes projets pour l'année prochaine.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22SDI234AM;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Biomédical);Génie Biomédical;F;22;FRANCAIS(E);Bac S;31;Oui;En poursuite d'études;;;Master recherche;;;;BME BioMech;Université Paris Cité;L'acquisition d'une double compétence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22GDI239UI;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Biomédical);Génie Biomédical;M;22;FRANCAIS(E);Bac S;52;Oui;En poursuite d'études;;;Master professionnel;;;;Master Management de projets;IAE Lille;L'acquisition d'une double compétence;;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22GDI352UL;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;F;22;FRANCAIS(E);Bac S;38;Oui;En poursuite d'études;;;Thèse académique;;;;Doctorat en biomécanique;Centre National de la Recherche Scientifique (CNRS);Un perfectionnement dans votre domaine d'excellence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22VDI230AU;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Biomédical);Génie Biomédical;F;22;FRANCAIS(E);Bac S;33;Oui;En poursuite d'études;;;Mastère spécialisé habilité par la CGE;;;;Mastère Spécialisé Stratégie et développement d'affaires internationales;EM Lyon et CentraleSupelec;L'acquisition d'une double compétence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22BDI320AL;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Matériaux);Matériaux;F;23;FRANCAIS€;Bac S;82;Oui;En poursuite d'études;;;Autre;Master gestion - management de projet et de la qualité;;;Master management de projets et de la qualité;IAE Paris Est Créteil;L'acquisition d'une double compétence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22RDI301LI;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Matériaux);Matériaux;F;23;FRANCAIS(E);Bac S;38;Oui;En poursuite d'études;;;Thèse CIFRE, sur CDD;;Industrie chimique ou pharmaceutique;;Thèse CIFRE, non précisé;Université Claude Bernard Lyon 1;L'acquisition d'une double compétence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22DDI331IL;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Matériaux);Matériaux;F;22;FRANCAIS(E);Bac S;34;Oui;En poursuite d'études;;;Thèse académique;;;;Doctorant en Science des Matériaux et Mécanique;ISAE-SUPAERO;Un perfectionnement dans votre domaine d'excellence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22SDI357IL;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;22;FRANCAIS(E);Bac S;75;Oui;En poursuite d'études;;;Thèse CIFRE, sur CDD;;Energie;;Thèse CIFRE, non précisé;Université de Lorraine - EDF R&D;Un perfectionnement dans votre domaine d'excellence;;Non;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
