id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_GBM001;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM002;F;GBM;FISE;;oui;;;;;;;;;0;0;;0
2122_INTER_GBM003;F;GBM;FISE;TUNISIEN(NE);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM004;M;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM005;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM006;M;GBM;Cpro;FRANCAIS(E);oui;;3;;;;;;;3;0;;3
2122_INTER_GBM007;F;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM008;F;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM009;M;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM010;M;GBM;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_GBM011;F;GBM;;FRANCAIS(E);;;;;5;;;;;5;0;;5
2122_INTER_GBM012;M;GBM;FISE;FRANCAIS(E);oui;;;;;;;;;3;0;;3
2122_INTER_GBM013;F;GBM;FISE;;oui;;;;;;;;;0;0;;0
2122_INTER_GBM014;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM015;F;GBM;FISE;MAROCAIN(E);oui;;;5;;;;;;0;5;;5
2122_INTER_GBM016;F;GBM;Cpro;;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM017;F;GBM;FISE;FRANCAIS(E);oui;;;;5,5;;;;;5,5;0;;5,5
2122_INTER_GBM018;F;GBM;FISE;FRANCAIS(E);oui;;3;;;;;;;3;0;;3
2122_INTER_GBM019;F;GBM;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM020;M;GBM;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_GBM021;M;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM022;F;GBM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_GBM023;M;GBM;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM024;F;GBM;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM025;F;GBM;FISE;FRANCAIS(E);oui;;3;;;;;;;3;0;;3
2122_INTER_GBM026;F;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM027;F;GBM;FISE;FRANCAIS(E);oui;;3,5;;;;1;;;4,5;0;;4,5
2122_INTER_GBM028;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM029;F;GBM;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_GBM030;M;GBM;FISE;;oui;;4;;;;;;;4;0;;4
2122_INTER_GBM031;M;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM032;F;GBM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_GBM033;M;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM034;F;GBM;;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM035;F;GBM;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_GBM036;F;GBM;FISE;ITALIEN(NE);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM037;F;GBM;Cpro;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM038;F;GBM;FISE;FRANCAIS(E);oui;;3;;6;;;;;9;0;;9
2122_INTER_GBM039;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM040;F;GBM;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM041;M;GBM;FISE;FRANCAIS(E);oui;;4;;;;;;;4;0;;4
2122_INTER_GBM042;F;GBM;Cpro;MAROCAIN(E);oui;;;;;;;;;0;0;;0
2122_INTER_GBM043;F;GBM;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_GBM044;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_GBM045;F;GBM;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_SIR001;M;GI;;FRANCAIS(E);DD UQAC en cours;;;;5;10;;;;5;10;;15
2122_INTER_SIR002;M;GI;FISE;MAROCAIN(E);oui;;4,5;;;;;;;4,5;0;;4,5
2122_INTER_SIR003;M;GI;Cpro;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR004;M;GI;FISE;FRANCAIS(E);oui;;;;5,5;;;;;5,5;0;;5,5
2122_INTER_SIR005;M;GI;Cpro;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_SIR006;F;GI;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_SIR007;M;GI;FISE;MAROCAIN(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR008;M;GI;FISE;FRANCAIS(E);oui;;;;;4;;;;0;4;;4
2122_INTER_SIR009;M;GI;;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR010;M;GI;FISE;;oui;;;;;10;;;;0;10;;10
2122_INTER_SIR011;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR012;M;GI;;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;10;;10
2122_INTER_SIR013;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR014;M;GI;;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR015;M;GI;FISE;BURKINABE;oui;;;;4;3;;;;4;3;;7
2122_INTER_SIR016;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
